name,id,rank,continent_id,continent_name,region_id,region_name,country_id,country_name,lid,F,k,lon,lat
Addis Ababa,1,229,1,Africa,1,Eastern Africa,65,Ethiopia,ADD,4156448.5,64,38.799444,8.977778
Nampula,2,1469,1,Africa,1,Eastern Africa,148,Mozambique,APL,140726,6,39.281667,-15.105556
Asmara,3,1079,1,Africa,1,Eastern Africa,63,Eritrea,ASM,307820.5,11,38.910556,15.291944
Berbera,4,1550,1,Africa,1,Eastern Africa,192,Somalia,BBO,122521.5,9,44.941111,10.389167
Beira,5,1485,1,Africa,1,Eastern Africa,148,Mozambique,BEW,138602,5,34.9075,-19.796389
Bujumbura,6,1175,1,Africa,1,Eastern Africa,24,Burundi,BJM,252165,7,29.318611,-3.323889
Bulawayo,7,1316,1,Africa,1,Eastern Africa,230,Zimbabwe,BUQ,191314,3,28.617778,-20.0175
Dar es Salaam,8,395,1,Africa,1,Eastern Africa,211,TanzaniaUnitedRepublicof,DAR,1848753,22,39.2025,-6.878056
Dzaoudzi,9,1388,1,Africa,1,Eastern Africa,227,Mayotte,DZA,165545,7,45.280556,-12.806667
Entebbe,10,535,1,Africa,1,Eastern Africa,213,Uganda,EBB,1083883,20,32.443611,0.0425
Harare,11,574,1,Africa,1,Eastern Africa,230,Zimbabwe,HRE,981347.5,16,31.092778,-17.931944
Djibouti,12,1153,1,Africa,1,Eastern Africa,55,Djibouti,JIB,267303,12,43.159444,11.547222
Kilimanjaro,13,669,1,Africa,1,Eastern Africa,211,TanzaniaUnitedRepublicof,JRO,759808.5,12,37.074444,-3.429444
Kigali,14,624,1,Africa,1,Eastern Africa,179,Rwanda,KGL,841975.5,16,30.139444,-1.968611
Kisumu,15,1284,1,Africa,1,Eastern Africa,105,Kenya,KIS,201312.5,1,34.729722,-0.085556
Lilongwe,16,1339,1,Africa,1,Eastern Africa,145,Malawi,LLW,183194.5,7,33.781111,-13.789444
Lusaka,17,611,1,Africa,1,Eastern Africa,229,Zambia,LUN,882473.5,16,28.4525,-15.330833
Livingstone,18,1478,1,Africa,1,Eastern Africa,229,Zambia,LVI,139994,6,25.822778,-17.821667
Mombasa,19,599,1,Africa,1,Eastern Africa,105,Kenya,MBA,922966.5,18,39.599722,-4.028056
Mogadishu,20,1544,1,Africa,1,Eastern Africa,192,Somalia,MGQ,123803,7,45.305,2.014722
Maputo,21,723,1,Africa,1,Eastern Africa,148,Mozambique,MPM,684239,10,32.5725,-25.920833
Mekele,22,1513,1,Africa,1,Eastern Africa,65,Ethiopia,MQX,131520.5,1,39.533333,13.4675
Mauritius,23,413,1,Africa,1,Eastern Africa,143,Mauritius,MRU,1732169,30,57.683611,-20.430278
Mwanza,24,1083,1,Africa,1,Eastern Africa,211,TanzaniaUnitedRepublicof,MWZ,305097,6,32.932778,-2.444444
Nairobi Jomo Kenyatta International Apt,25,212,1,Africa,1,Eastern Africa,105,Kenya,NBO,4635632,64,36.927778,-1.319167
Ndola,26,1344,1,Africa,1,Eastern Africa,229,Zambia,NLA,181259,5,28.666111,-12.997778
St-Denis,27,485,1,Africa,1,Eastern Africa,175,Reunion,RUN,1268991,11,55.510278,-20.887222
Mahe Island,28,933,1,Africa,1,Eastern Africa,182,Seychelles,SEZ,420727.5,11,55.521944,-4.674444
Tete,29,1551,1,Africa,1,Eastern Africa,148,Mozambique,TET,122261,5,33.640278,-16.104722
Antananarivo,30,958,1,Africa,1,Eastern Africa,131,Madagascar,TNR,397275.5,9,47.478889,-18.796944
Victoria Falls,31,1228,1,Africa,1,Eastern Africa,230,Zimbabwe,VFA,227600.5,5,25.838889,-18.095833
Zanzibar,32,865,1,Africa,1,Eastern Africa,211,TanzaniaUnitedRepublicof,ZNZ,486845,15,39.225,-6.221944
Bata,33,1456,1,Africa,2,Middle Africa,83,EquatorialGuinea,BSG,143627.5,3,9.805556,1.905556
Brazzaville,34,639,1,Africa,2,Middle Africa,39,Congo,BZV,821979.5,15,15.253056,-4.251667
Cabinda,35,1222,1,Africa,2,Middle Africa,9,Angola,CAB,229429.5,1,12.188056,-5.597222
Douala,36,573,1,Africa,2,Middle Africa,44,Cameroon,DLA,982340,19,9.719444,4.006111
Lubumbashi,37,1318,1,Africa,2,Middle Africa,37,CongoDemocraticRepublicof,FBM,190491.5,8,27.530833,-11.591389
Kinshasa N'Djili Intl Apt,38,845,1,Africa,2,Middle Africa,37,CongoDemocraticRepublicof,FIH,507546,17,15.444444,-4.385833
Luanda,39,484,1,Africa,2,Middle Africa,9,Angola,LAD,1270592,31,13.231111,-8.858333
Libreville,40,755,1,Africa,2,Middle Africa,72,Gabon,LBV,634483.5,18,9.412222,0.458611
N'Djamena,41,1281,1,Africa,2,Middle Africa,199,Chad,NDJ,202388,14,15.033889,12.133611
Yaounde Nsimalen Intl Apt,42,924,1,Africa,2,Middle Africa,44,Cameroon,NSI,427132.5,13,11.553333,3.7225
