from,to,weight
ADD,FRA,0.532635578
ADD,MQX,0.467364422
FRA,ADD,0.004742495
FRA,MBA,0.003994831
FRA,ZNZ,0.008118897
FRA,LAD,0.006382357
FRA,CAI,0.005937501
FRA,KRT,0.004048508
FRA,TUN,0.004059527
FRA,JNB,0.004687199
FRA,WDH,0.000802226
FRA,ABV,0.003770508
FRA,BGI,0.007849195
FRA,HOG,0.001624963
FRA,MBJ,0.009342592
FRA,SDQ,0.005216844
FRA,TAB,0.009663294
FRA,CUN,0.015405759
FRA,MEX,0.017701064
FRA,BOG,0.014272697
FRA,CCS,0.005285185
FRA,EZE,0.005355025
FRA,GIG,0.012303502
FRA,GRU,0.010295749
FRA,REC,0.025760381
FRA,SSA,0.051702858
FRA,ANC,0.020130814
FRA,CLT,0.019119686
FRA,DEN,0.029445159
FRA,DFW,0.025913414
FRA,DTW,0.012856264
FRA,FAI,0.058066862
FRA,IAD,0.004204904
FRA,IAH,0.009738241
FRA,MCO,0.020480359
FRA,PHL,0.010032706
FRA,SEA,0.022705917
FRA,SFO,0.008332163
FRA,YOW,0.005913568
FRA,YVR,0.008892899
FRA,YXY,0.004895743
FRA,YYC,0.008621384
FRA,YYZ,0.007490967
FRA,ALA,0.006790019
FRA,TSE,0.001792326
FRA,HND,0.086152047
FRA,ICN,0.00917089
FRA,KIX,0.010965615
FRA,NGO,0.00897326
FRA,NKG,0.028678259
FRA,NRT,0.007155001
FRA,PVG,0.010040901
FRA,SHE,0.0209067
FRA,TPE,0.026304788
FRA,BLR,0.007476291
FRA,CMB,0.009356144
FRA,DEL,0.011992769
FRA,MAA,0.011969422
FRA,MLE,0.007311447
FRA,PNQ,0.029227073
FRA,BKK,0.009947373
FRA,HAN,0.011063806
FRA,REP,0.106245231
FRA,SGN,0.021622056
FRA,SIN,0.008748684
FRA,KWI,0.006530957
FRA,RUH,0.015039211
FRA,GOJ,0.001966173
FRA,BLL,0.001189464
FRA,LJU,0.000995123
FRA,OPO,0.002466379
FRA,PDL,0.004419135
FRA,TXL,1.44E-05
FRA,LNZ,0.000324808
APL,JNB,1
JNB,APL,0.143036524
JNB,BEW,0.110947833
JNB,BUQ,0.074041277
JNB,LLW,0.103686598
JNB,LVI,0.036847431
JNB,MPM,0.05559899
JNB,NLA,0.068149745
JNB,TET,0.086806351
JNB,VFA,0.041452105
JNB,BFN,0.046340814
JNB,DUR,0.045388534
JNB,ELS,0.036063195
JNB,GBE,0.032140732
JNB,GRJ,0.031062594
JNB,FRA,0.009720965
JNB,MQP,0.038590472
JNB,PLZ,0.04012584
ASM,FCO,1
FCO,ASM,0.720717031
FCO,BCM,0.037795437
