from,to,weight
Ethiopia,Germany,0.532635578
Ethiopia,Ethiopia,0.467364422
Germany,Ethiopia,0.004414634
Germany,Kenya,0.003718658
Germany,TanzaniaUnitedRepublicof,0.007557616
Germany,Angola,0.005941128
Germany,Egypt,0.007278602
Germany,Morocco,0.003914203
Germany,Tunisia,0.005442475
Germany,Sudan,0.003768624
Germany,SouthAfrica,0.004363161
Germany,Namibia,0.000746766
Germany,Nigeria,0.003509843
Germany,CapeVerde,0.003181237
Germany,Barbados,0.007306559
Germany,Cuba,0.017541885
Germany,Jamaica,0.008696714
Germany,DominicanRepublic,0.006474227
Germany,TrinidadandTobago,0.008995245
Germany,Mexico,0.030818061
Germany,Colombia,0.013285988
Germany,Venezuela,0.004919806
Germany,Argentina,0.004984818
Germany,Brazil,0.093144906
Germany,USA,0.007756138
Germany,Canada,0.033338606
Germany,Kazakhstan,0.007989025
Germany,Japan,0.105416933
Germany,KoreaRepublicof,0.008536882
Germany,China,0.057278295
Germany,Taiwan,0.024486269
Germany,Mongolia,0.000124822
Germany,India,0.056471585
Germany,SriLanka,0.008709329
Germany,IranIslamicRepublicof,0.001706132
Germany,Maldives,0.006805987
Germany,Thailand,0.009259684
Germany,VietNam,0.020127266
Germany,Cambodia,0.098900217
Germany,Singapore,0.008143864
Germany,Turkey,0.005026335
Germany,Jordan,0.000276416
Germany,UnitedArabEmirates,0.007834652
Germany,Lebanon,0.000147012
Germany,Qatar,0.000367722
Germany,Iraq,0.000775182
Germany,Kuwait,0.006079454
Germany,SaudiArabia,0.01399951
Germany,Georgia,0.001685853
Germany,Israel,0.000129434
Germany,Hungary,7.70E-05
Germany,Romania,0.001329147
Germany,RussianFederation,0.003219506
Germany,Ukraine,0.003463507
Germany,Poland,0.046583714
Germany,MoldovaRepublicof,0.001190722
Germany,CzechRepublic,0.00030404
Germany,Bulgaria,3.34E-05
Germany,Sweden,0.002233306
Germany,Denmark,0.019226757
Germany,Finland,4.64E-05
Germany,Iceland,0.000176042
Germany,Norway,0.000125159
Germany,Latvia,5.67E-05
Germany,Lithuania,0.000281838
Germany,Spain,0.047704309
Germany,Italy,0.021553734
Germany,Greece,0.004113921
Germany,Serbia,0.000251696
Germany,Croatia,0.000505064
Germany,Portugal,0.009755087
Germany,Slovenia,0.000926328
Germany,Malta,0.000135277
Germany,BosniaandHerzegovina,0.000521207
Germany,Netherlands,0.001731233
Germany,UnitedKingdom,0.020891235
Germany,France,0.004093291
Germany,Germany,0.065166252
Germany,Switzerland,0.002183483
Germany,Belgium,7.63E-05
Germany,Austria,0.000514747
Germany,Luxembourg,0.000151849
Mozambique,SouthAfrica,1
SouthAfrica,Mozambique,0.050323751
SouthAfrica,Zimbabwe,0.014662491
