,from,to,weight,effdistance
0,Ethiopia,Germany,0.5326355779999999,1.63
1,Ethiopia,Ethiopia,0.46736442200000006,1.761
2,Germany,Ethiopia,0.004414634000000001,6.423
3,Germany,Kenya,0.0037186579999999997,6.594
4,Germany,TanzaniaUnitedRepublicof,0.007557616,5.885
5,Germany,Angola,0.005941128,6.126
6,Germany,Egypt,0.0072786019999999995,5.923
7,Germany,Morocco,0.003914203,6.543
8,Germany,Tunisia,0.005442475,6.214
9,Germany,Sudan,0.0037686240000000004,6.581
10,Germany,SouthAfrica,0.004363161,6.435
11,Germany,Namibia,0.000746766,8.2
12,Germany,Nigeria,0.003509843,6.652
13,Germany,CapeVerde,0.003181237,6.75
14,Germany,Barbados,0.007306559000000001,5.919
15,Germany,Cuba,0.017541885,5.043
16,Germany,Jamaica,0.008696714,5.745
17,Germany,DominicanRepublic,0.006474227,6.04
18,Germany,TrinidadandTobago,0.008995245,5.711
19,Germany,Mexico,0.030818061,4.48
20,Germany,Colombia,0.013285988,5.321
21,Germany,Venezuela,0.004919806,6.314
22,Germany,Argentina,0.004984818,6.301
23,Germany,Brazil,0.093144906,3.374
24,Germany,USA,0.007756138,5.859
25,Germany,Canada,0.033338606,4.401
26,Germany,Kazakhstan,0.007989025,5.83
27,Germany,Japan,0.105416933,3.25
28,Germany,KoreaRepublicof,0.008536881999999999,5.763
29,Germany,China,0.057278295,3.86
30,Germany,Taiwan,0.024486268999999998,4.71
31,Germany,Mongolia,0.00012482200000000002,9.989
32,Germany,India,0.056471585,3.874
33,Germany,SriLanka,0.008709329,5.743
34,Germany,IranIslamicRepublicof,0.0017061320000000002,7.374
35,Germany,Maldives,0.0068059869999999995,5.99
36,Germany,Thailand,0.009259684,5.682
37,Germany,VietNam,0.020127266,4.906
38,Germany,Cambodia,0.098900217,3.314
39,Germany,Singapore,0.008143864,5.81
40,Germany,Turkey,0.005026335,6.293
41,Germany,Jordan,0.000276416,9.194
42,Germany,UnitedArabEmirates,0.007834652,5.849
43,Germany,Lebanon,0.000147012,9.825
44,Germany,Qatar,0.00036772199999999996,8.908
45,Germany,Iraq,0.000775182,8.162
46,Germany,Kuwait,0.006079454000000001,6.103
47,Germany,SaudiArabia,0.01399951,5.269
48,Germany,Georgia,0.001685853,7.385
49,Germany,Israel,0.000129434,9.952
50,Germany,Hungary,7.7e-05,10.472
51,Germany,Romania,0.0013291470000000001,7.623
